Best solution in generation 0 is:  f(x) = 39.0
Best solution in generation 1 is:  f(x) = 35.0
Best solution in generation 2 is:  f(x) = 33.0
Best solution in generation 3 is:  f(x) = 33.0
Best solution in generation 4 is:  f(x) = 33.0
Best solution in generation 5 is:  f(x) = 33.0
Best solution in generation 6 is:  f(x) = 33.0
Best solution in generation 7 is:  f(x) = 33.0
Best solution in generation 8 is:  f(x) = 33.0
Best solution in generation 9 is:  f(x) = 33.0
Best solution in generation 10 is:  f(x) = 33.0
Best solution in generation 11 is:  f(x) = 33.0
Best solution in generation 12 is:  f(x) = 33.0
Best solution in generation 13 is:  f(x) = 33.0
Best solution in generation 14 is:  f(x) = 33.0
Best solution in generation 15 is:  f(x) = 33.0
Best solution in generation 16 is:  f(x) = 33.0
Best solution in generation 17 is:  f(x) = 33.0
Best solution in generation 18 is:  f(x) = 33.0
Best solution in generation 19 is:  f(x) = 33.0
Best solution in generation 20 is:  f(x) = 33.0
Best solution in generation 21 is:  f(x) = 33.0
Best solution in generation 22 is:  f(x) = 33.0
Best solution in generation 23 is:  f(x) = 33.0
Best solution in generation 24 is:  f(x) = 33.0
Best solution in generation 25 is:  f(x) = 33.0
Best solution in generation 26 is:  f(x) = 33.0
Best solution in generation 27 is:  f(x) = 33.0
Best solution in generation 28 is:  f(x) = 33.0
Best solution in generation 29 is:  f(x) = 33.0
Best solution in generation 30 is:  f(x) = 33.0
Best solution in generation 31 is:  f(x) = 33.0
Best solution in generation 32 is:  f(x) = 33.0
Best solution in generation 33 is:  f(x) = 33.0
Best solution in generation 34 is:  f(x) = 33.0
Best solution in generation 35 is:  f(x) = 33.0
Best solution in generation 36 is:  f(x) = 33.0
Best solution in generation 37 is:  f(x) = 33.0
Best solution in generation 38 is:  f(x) = 33.0
Best solution in generation 39 is:  f(x) = 33.0
Best solution in generation 40 is:  f(x) = 33.0
Best solution in generation 41 is:  f(x) = 33.0
Best solution in generation 42 is:  f(x) = 33.0
Best solution in generation 43 is:  f(x) = 33.0
Best solution in generation 44 is:  f(x) = 33.0
Best solution in generation 45 is:  f(x) = 33.0
Best solution in generation 46 is:  f(x) = 33.0
Best solution in generation 47 is:  f(x) = 33.0
Best solution in generation 48 is:  f(x) = 33.0
Best solution in generation 49 is:  f(x) = 33.0
Best solution in generation 50 is:  f(x) = 33.0
Best solution in generation 51 is:  f(x) = 33.0
Best solution in generation 52 is:  f(x) = 33.0
Best solution in generation 53 is:  f(x) = 33.0
Best solution in generation 54 is:  f(x) = 33.0
Best solution in generation 55 is:  f(x) = 33.0
Best solution in generation 56 is:  f(x) = 33.0
Best solution in generation 57 is:  f(x) = 33.0
Best solution in generation 58 is:  f(x) = 33.0
Best solution in generation 59 is:  f(x) = 33.0
Best solution in generation 60 is:  f(x) = 33.0
Best solution in generation 61 is:  f(x) = 33.0
Best solution in generation 62 is:  f(x) = 33.0
Best solution in generation 63 is:  f(x) = 33.0
Best solution in generation 64 is:  f(x) = 33.0
Best solution in generation 65 is:  f(x) = 33.0
Best solution in generation 66 is:  f(x) = 33.0
Best solution in generation 67 is:  f(x) = 33.0
Best solution in generation 68 is:  f(x) = 33.0
Best solution in generation 69 is:  f(x) = 33.0
Best solution in generation 70 is:  f(x) = 33.0
Best solution in generation 71 is:  f(x) = 33.0
Best solution in generation 72 is:  f(x) = 33.0
Best solution in generation 73 is:  f(x) = 33.0
Best solution in generation 74 is:  f(x) = 33.0
Best solution in generation 75 is:  f(x) = 33.0
Best solution in generation 76 is:  f(x) = 33.0
Best solution in generation 77 is:  f(x) = 33.0
Best solution in generation 78 is:  f(x) = 33.0
Best solution in generation 79 is:  f(x) = 33.0
Best solution in generation 80 is:  f(x) = 33.0
Best solution in generation 81 is:  f(x) = 33.0
Best solution in generation 82 is:  f(x) = 33.0
Best solution in generation 83 is:  f(x) = 33.0
Best solution in generation 84 is:  f(x) = 33.0
Best solution in generation 85 is:  f(x) = 33.0
Best solution in generation 86 is:  f(x) = 33.0
Best solution in generation 87 is:  f(x) = 33.0
Best solution in generation 88 is:  f(x) = 33.0
Best solution in generation 89 is:  f(x) = 33.0
Best solution in generation 90 is:  f(x) = 33.0
Best solution in generation 91 is:  f(x) = 33.0
Best solution in generation 92 is:  f(x) = 33.0
Best solution in generation 93 is:  f(x) = 33.0
Best solution in generation 94 is:  f(x) = 33.0
Best solution in generation 95 is:  f(x) = 33.0
Best solution in generation 96 is:  f(x) = 33.0
Best solution in generation 97 is:  f(x) = 33.0
Best solution in generation 98 is:  f(x) = 33.0
Best solution in generation 99 is:  f(x) = 33.0
Best solution in generation 100 is:  f(x) = 33.0
Best solution in generation 101 is:  f(x) = 33.0
Best solution in generation 102 is:  f(x) = 33.0
Best solution in generation 103 is:  f(x) = 33.0
Best solution in generation 104 is:  f(x) = 33.0
Best solution in generation 105 is:  f(x) = 33.0
Best solution in generation 106 is:  f(x) = 33.0
Best solution in generation 107 is:  f(x) = 33.0
Best solution in generation 108 is:  f(x) = 33.0
Best solution in generation 109 is:  f(x) = 33.0
Best solution in generation 110 is:  f(x) = 33.0
Best solution in generation 111 is:  f(x) = 33.0
Best solution in generation 112 is:  f(x) = 33.0
Best solution in generation 113 is:  f(x) = 33.0
Best solution in generation 114 is:  f(x) = 33.0
Best solution in generation 115 is:  f(x) = 33.0
Best solution in generation 116 is:  f(x) = 33.0
Best solution in generation 117 is:  f(x) = 33.0
Best solution in generation 118 is:  f(x) = 33.0
Best solution in generation 119 is:  f(x) = 33.0
Best solution in generation 120 is:  f(x) = 33.0
Best solution in generation 121 is:  f(x) = 33.0
Best solution in generation 122 is:  f(x) = 33.0
Best solution in generation 123 is:  f(x) = 33.0
Best solution in generation 124 is:  f(x) = 33.0
Best solution in generation 125 is:  f(x) = 33.0
Best solution in generation 126 is:  f(x) = 33.0
Best solution in generation 127 is:  f(x) = 33.0
Best solution in generation 128 is:  f(x) = 33.0
Best solution in generation 129 is:  f(x) = 33.0
Best solution in generation 130 is:  f(x) = 33.0
Best solution in generation 131 is:  f(x) = 33.0
Best solution in generation 132 is:  f(x) = 33.0
Best solution in generation 133 is:  f(x) = 33.0
Best solution in generation 134 is:  f(x) = 33.0
Best solution in generation 135 is:  f(x) = 33.0
Best solution in generation 136 is:  f(x) = 33.0
Best solution in generation 137 is:  f(x) = 33.0
Best solution in generation 138 is:  f(x) = 33.0
Best solution in generation 139 is:  f(x) = 33.0
Best solution in generation 140 is:  f(x) = 33.0
Best solution in generation 141 is:  f(x) = 33.0
Best solution in generation 142 is:  f(x) = 33.0
Best solution in generation 143 is:  f(x) = 33.0
Best solution in generation 144 is:  f(x) = 33.0
Best solution in generation 145 is:  f(x) = 33.0
Best solution in generation 146 is:  f(x) = 33.0
Best solution in generation 147 is:  f(x) = 33.0
Best solution in generation 148 is:  f(x) = 33.0
Best solution in generation 149 is:  f(x) = 33.0
Best solution in generation 150 is:  f(x) = 33.0
Best solution in generation 151 is:  f(x) = 33.0
Best solution in generation 152 is:  f(x) = 33.0
Best solution in generation 153 is:  f(x) = 33.0
Best solution in generation 154 is:  f(x) = 33.0
Best solution in generation 155 is:  f(x) = 33.0
Best solution in generation 156 is:  f(x) = 33.0
Best solution in generation 157 is:  f(x) = 33.0
Best solution in generation 158 is:  f(x) = 33.0
Best solution in generation 159 is:  f(x) = 33.0
Best solution in generation 160 is:  f(x) = 33.0
Best solution in generation 161 is:  f(x) = 33.0
Best solution in generation 162 is:  f(x) = 33.0
Best solution in generation 163 is:  f(x) = 33.0
Best solution in generation 164 is:  f(x) = 33.0
Best solution in generation 165 is:  f(x) = 33.0
Best solution in generation 166 is:  f(x) = 33.0
Best solution in generation 167 is:  f(x) = 33.0
Best solution in generation 168 is:  f(x) = 33.0
Best solution in generation 169 is:  f(x) = 33.0
Best solution in generation 170 is:  f(x) = 33.0
Best solution in generation 171 is:  f(x) = 33.0
Best solution in generation 172 is:  f(x) = 33.0
Best solution in generation 173 is:  f(x) = 33.0
Best solution in generation 174 is:  f(x) = 33.0
Best solution in generation 175 is:  f(x) = 33.0
Best solution in generation 176 is:  f(x) = 33.0
Best solution in generation 177 is:  f(x) = 33.0
Best solution in generation 178 is:  f(x) = 33.0
Best solution in generation 179 is:  f(x) = 33.0
Best solution in generation 180 is:  f(x) = 33.0
Best solution in generation 181 is:  f(x) = 33.0
Best solution in generation 182 is:  f(x) = 33.0
Best solution in generation 183 is:  f(x) = 33.0
Best solution in generation 184 is:  f(x) = 33.0
Best solution in generation 185 is:  f(x) = 33.0
Best solution in generation 186 is:  f(x) = 33.0
Best solution in generation 187 is:  f(x) = 33.0
Best solution in generation 188 is:  f(x) = 33.0
Best solution in generation 189 is:  f(x) = 33.0
Best solution in generation 190 is:  f(x) = 33.0
Best solution in generation 191 is:  f(x) = 33.0
Best solution in generation 192 is:  f(x) = 33.0
Best solution in generation 193 is:  f(x) = 33.0
Best solution in generation 194 is:  f(x) = 33.0
Best solution in generation 195 is:  f(x) = 33.0
Best solution in generation 196 is:  f(x) = 33.0
Best solution in generation 197 is:  f(x) = 33.0
Best solution in generation 198 is:  f(x) = 33.0
Best solution in generation 199 is:  f(x) = 33.0
Best solution in generation 200 is:  f(x) = 33.0
Best solution in generation 201 is:  f(x) = 33.0
Best solution in generation 202 is:  f(x) = 33.0
Best solution in generation 203 is:  f(x) = 33.0
Best solution in generation 204 is:  f(x) = 33.0
Best solution in generation 205 is:  f(x) = 33.0
Best solution in generation 206 is:  f(x) = 33.0
Best solution in generation 207 is:  f(x) = 33.0
Best solution in generation 208 is:  f(x) = 33.0
Best solution in generation 209 is:  f(x) = 33.0
Best solution in generation 210 is:  f(x) = 33.0
Best solution in generation 211 is:  f(x) = 33.0
